id,eventId,siteUnitNumber,bathingSite,eventStart,eventStop,duration,activity,associatedSiteId,outfallName
10893837,528046,12616,GURNARD,2021-12-07T14:27:28,2021-12-07T20:00:01.087,332,Not Reviewed,109705,SPRINGHILL COWES TRANSFER
10893838,528046,12617,COWES,2021-12-07T14:27:28,2021-12-07T20:00:01.087,332,Not Reviewed,109705,SPRINGHILL COWES TRANSFER
10893839,528522,12544,SHEERNESS,2021-12-07T17:45:00,2021-12-07T20:00:01.087,135,Not Reviewed,109616,SOUTH STREET QUEENBOROUGH
10893840,527910,12591,LITTLEHAMPTON,2021-12-07T12:51:15,2021-12-07T20:00:01.087,428,Not Reviewed,109965,SEA ROAD LITTLEHAMPTON
10893841,528554,12547,WEST BEACH WHITSTABLE,2021-12-07T18:11:19,2021-12-07T20:00:01.087,108,Not Reviewed,109831,TANKERTON CIRCUS
10893842,528554,12548,TANKERTON,2021-12-07T18:11:19,2021-12-07T20:00:01.087,108,Not Reviewed,109831,TANKERTON CIRCUS
10893843,528117,12591,LITTLEHAMPTON,2021-12-07T14:57:42,2021-12-07T20:00:01.087,302,Not Reviewed,109977,FORESHORE TANK LITTLEHAMPTON
10893844,528130,12621,BEMBRIDGE,2021-12-07T15:09:55,2021-12-07T20:00:01.087,290,Not Reviewed,109939,LANE END ROAD BEMBRIDGE
10893845,528130,12620,ST HELENS,2021-12-07T15:09:55,2021-12-07T20:00:01.087,290,Not Reviewed,109939,LANE END ROAD BEMBRIDGE
10893846,528363,12624,SANDOWN,2021-12-07T15:47:33,2021-12-07T20:00:01.087,252,Not Reviewed,110096,SANDOWN NO1
10893847,528363,12623,YAVERLAND,2021-12-07T15:47:33,2021-12-07T20:00:01.087,252,Not Reviewed,110096,SANDOWN NO1
10893848,528363,12622,WHITECLIFF BAY,2021-12-07T15:47:33,2021-12-07T20:00:01.087,252,Not Reviewed,110096,SANDOWN NO1
10893849,527920,12616,GURNARD,2021-12-07T12:53:12,2021-12-07T20:00:01.087,426,Not Reviewed,109652,WOODVALE TRANSFER NO2
10893850,527920,12617,COWES,2021-12-07T12:53:12,2021-12-07T20:00:01.087,426,Not Reviewed,109652,WOODVALE TRANSFER NO2
10893851,527833,12616,GURNARD,2021-12-07T11:17:39,2021-12-07T20:00:01.087,522,Not Reviewed,110701,TERMINUS ROAD COWES 2
10893852,527833,12617,COWES,2021-12-07T11:17:39,2021-12-07T20:00:01.087,522,Not Reviewed,110701,TERMINUS ROAD COWES 2
10893853,527992,12606,LEE-ON-SOLENT,2021-12-07T13:56:36,2021-12-07T20:00:01.087,363,Not Reviewed,109732,PEEL COMMON
10893854,527992,12605,STOKES BAY,2021-12-07T13:56:36,2021-12-07T20:00:01.087,363,Not Reviewed,109732,PEEL COMMON
10893855,528580,12567,FOLKESTONE,2021-12-07T18:37:36,2021-12-07T20:00:01.087,82,Not Reviewed,110010,THE STADE FOLKESTONE
10893856,528146,12661,LANGSTONE HARBOUR,2021-12-07T15:15:00,2021-12-07T20:00:01.087,285,Not Reviewed,109773,BUDDS FARM HAVANT NO2
10893857,528159,12661,LANGSTONE HARBOUR,2021-12-07T15:32:55,2021-12-07T20:00:01.087,267,Not Reviewed,109773,BUDDS FARM HAVANT NO2
10893858,528317,12662,CHICHESTER HARBOUR,2021-12-07T16:15:00,2021-12-07T20:00:01.087,225,Not Reviewed,116025,PRIORS LEAZE LANE NUTBOURNE
10893859,527953,12624,SANDOWN,2021-12-07T12:28:47,2021-12-07T20:00:01.087,451,Not Reviewed,110097,SANDOWN NO2
10893860,527953,12622,WHITECLIFF BAY,2021-12-07T12:28:47,2021-12-07T20:00:01.087,451,Not Reviewed,110097,SANDOWN NO2
10893861,527953,12623,YAVERLAND,2021-12-07T12:28:47,2021-12-07T20:00:01.087,451,Not Reviewed,110097,SANDOWN NO2
10893862,528576,12596,PAGHAM,2021-12-07T18:17:40,2021-12-07T20:00:01.087,102,Not Reviewed,109791,SIDLESHAM
10893863,528164,12661,LANGSTONE HARBOUR,2021-12-07T15:48:00,2021-12-07T20:00:01.087,252,Not Reviewed,109819,COURT LANE COSHAM
10893864,528262,12548,TANKERTON,2021-12-07T16:24:20,2021-12-07T20:00:01.087,215,Not Reviewed,109830,SWALECLIFFE NO1
10893865,528262,12549,HERNE BAY CENTRAL,2021-12-07T16:24:20,2021-12-07T20:00:01.087,215,Not Reviewed,109830,SWALECLIFFE NO1
10893866,527897,12616,GURNARD,2021-12-07T12:30:00,2021-12-07T20:00:01.087,450,Not Reviewed,109702,ALBANY ROAD EAST COWES
10893867,527897,12617,COWES,2021-12-07T12:30:00,2021-12-07T20:00:01.087,450,Not Reviewed,109702,ALBANY ROAD EAST COWES
10893868,528487,12662,CHICHESTER HARBOUR,2021-12-07T17:24:29,2021-12-07T20:00:01.087,155,Not Reviewed,110760,BOSHAM
10893869,527956,12616,GURNARD,2021-12-07T12:45:00,2021-12-07T20:00:01.087,435,Not Reviewed,109700,MARKET HILL COWES
10893870,527956,12617,COWES,2021-12-07T12:45:00,2021-12-07T20:00:01.087,435,Not Reviewed,109700,MARKET HILL COWES
10893871,528310,12569,HYTHE,2021-12-07T15:45:00,2021-12-07T20:00:01.087,255,Not Reviewed,109897,RANGE ROAD HYTHE K LONG
10893872,528310,12568,SANDGATE,2021-12-07T15:45:00,2021-12-07T20:00:01.087,255,Not Reviewed,109897,RANGE ROAD HYTHE K LONG
10893873,527896,12620,ST HELENS,2021-12-07T12:27:02,2021-12-07T20:00:01.087,452,Not Reviewed,110761,BRADING
10893874,528551,12596,PAGHAM,2021-12-07T17:59:24,2021-12-07T19:00:00,60,Not Reviewed,109959,WEST PARK BOGNOR REGIS
10893875,528551,12595,BOGNOR REGIS (ALDWICK),2021-12-07T17:59:24,2021-12-07T19:00:00,60,Not Reviewed,109959,WEST PARK BOGNOR REGIS
10893876,528551,12594,BOGNOR REGIS EAST,2021-12-07T17:59:24,2021-12-07T19:00:00,60,Not Reviewed,109959,WEST PARK BOGNOR REGIS
10893877,527969,12617,COWES,2021-12-07T13:31:57,2021-12-07T18:59:22,327,Not Reviewed,109706,HIGH STREET COWES
10893878,527969,12616,GURNARD,2021-12-07T13:31:57,2021-12-07T18:59:22,327,Not Reviewed,109706,HIGH STREET COWES
10893879,528488,12601,BEACHLANDS CENTRAL,2021-12-07T17:30:00,2021-12-07T18:45:00,75,Not Reviewed,109823,FORT CUMBERLAND NO1
10893880,528488,12604,SOUTHSEA EAST,2021-12-07T17:30:00,2021-12-07T18:45:00,75,Not Reviewed,109823,FORT CUMBERLAND NO1
10893881,528488,12602,BEACHLANDS WEST,2021-12-07T17:30:00,2021-12-07T18:45:00,75,Not Reviewed,109823,FORT CUMBERLAND NO1
10893882,528488,12603,EASTNEY,2021-12-07T17:30:00,2021-12-07T18:45:00,75,Not Reviewed,109823,FORT CUMBERLAND NO1
10893883,528488,12661,LANGSTONE HARBOUR,2021-12-07T17:30:00,2021-12-07T18:45:00,75,Not Reviewed,109823,FORT CUMBERLAND NO1
10893884,528598,12547,WEST BEACH WHITSTABLE,2021-12-07T18:10:12,2021-12-07T18:32:13,22,Not Reviewed,109831,TANKERTON CIRCUS
10893885,528598,12548,TANKERTON,2021-12-07T18:10:12,2021-12-07T18:32:13,22,Not Reviewed,109831,TANKERTON CIRCUS
10893886,528006,12582,SEAFORD,2021-12-07T14:02:32,2021-12-07T18:32:09,269,Not Reviewed,110920,NEWHAVEN
10893887,528058,12616,GURNARD,2021-12-07T14:34:43,2021-12-07T18:30:00,235,Not Reviewed,109650,MARSH ROAD GURNARD
10893888,528058,12617,COWES,2021-12-07T14:34:43,2021-12-07T18:30:00,235,Not Reviewed,109650,MARSH ROAD GURNARD
10893889,528528,12544,SHEERNESS,2021-12-07T17:49:48,2021-12-07T18:30:00,40,Not Reviewed,109869,GRAIN NO2
10893890,528597,12547,WEST BEACH WHITSTABLE,2021-12-07T18:08:03,2021-12-07T18:25:28,17,Not Reviewed,109831,TANKERTON CIRCUS
10893891,528597,12548,TANKERTON,2021-12-07T18:08:03,2021-12-07T18:25:28,17,Not Reviewed,109831,TANKERTON CIRCUS
10893892,528495,12616,GURNARD,2021-12-07T17:45:00,2021-12-07T18:15:40,30,Not Reviewed,109704,EGYPT POINT COWES
10893893,528495,12617,COWES,2021-12-07T17:45:00,2021-12-07T18:15:40,30,Not Reviewed,109704,EGYPT POINT COWES
10893894,528098,12661,LANGSTONE HARBOUR,2021-12-07T14:53:02,2021-12-07T17:59:06,186,Not Reviewed,109818,KIRTLEY CLOSE DRAYTON
10893895,528037,12619,SEAGROVE,2021-12-07T14:19:08,2021-12-07T17:49:32,210,Not Reviewed,109785,SIMEON STREET RYDE
10893896,528037,12618,RYDE,2021-12-07T14:19:08,2021-12-07T17:49:32,210,Not Reviewed,109785,SIMEON STREET RYDE
10893897,528362,12604,SOUTHSEA EAST,2021-12-07T15:45:00,2021-12-07T17:48:19,123,Not Reviewed,109822,PIER ROAD SOUTHSEA
10893898,528362,12605,STOKES BAY,2021-12-07T15:45:00,2021-12-07T17:48:19,123,Not Reviewed,109822,PIER ROAD SOUTHSEA
10893899,527913,12591,LITTLEHAMPTON,2021-12-07T12:55:59,2021-12-07T17:45:00,289,Not Reviewed,109968,FORD ROAD ARUNDEL
10893900,528218,12596,PAGHAM,2021-12-07T14:45:00,2021-12-07T17:45:00,180,Not Reviewed,109959,WEST PARK BOGNOR REGIS
10893901,528218,12595,BOGNOR REGIS (ALDWICK),2021-12-07T14:45:00,2021-12-07T17:45:00,180,Not Reviewed,109959,WEST PARK BOGNOR REGIS
