id,eventId,siteUnitNumber,bathingSite,eventStart,eventStop,duration,activity,associatedSiteId,outfallName
8530586,520239,12616,GURNARD,2021-11-07T13:21:20,2021-11-07T16:30:52,189,Reviewed,109708,ESPLANADE COWES
8530587,520239,12617,COWES,2021-11-07T13:21:20,2021-11-07T16:30:52,189,Reviewed,109708,ESPLANADE COWES
8530588,520241,12617,COWES,2021-11-07T13:28:57,2021-11-07T15:25:27,116,Reviewed,109706,HIGH STREET COWES
8530589,520241,12616,GURNARD,2021-11-07T13:28:57,2021-11-07T15:25:27,116,Reviewed,109706,HIGH STREET COWES
8530590,520306,12616,GURNARD,2021-11-07T11:25:00,2021-11-07T14:51:00,206,Reviewed,109700,MARKET HILL COWES
8530591,520306,12617,COWES,2021-11-07T11:25:00,2021-11-07T14:51:00,206,Reviewed,109700,MARKET HILL COWES
8530592,519129,12549,HERNE BAY CENTRAL,2021-11-03T20:40:50,2021-11-03T21:12:14,31,Reviewed,109830,SWALECLIFFE NO1
8530593,519129,12548,TANKERTON,2021-11-03T20:40:50,2021-11-03T21:12:14,31,Reviewed,109830,SWALECLIFFE NO1
8530594,519237,12593,FELPHAM,2021-11-02T18:22:00,2021-11-02T23:23:00,301,Reviewed,110095,LIDSEY
8530595,518795,12593,FELPHAM,2021-11-02T14:37:00,2021-11-02T16:18:00,101,Reviewed,110095,LIDSEY
8530596,518702,12593,FELPHAM,2021-11-02T09:36:38,2021-11-02T12:24:00,167,Reviewed,110095,LIDSEY
8530597,518232,12593,FELPHAM,2021-11-01T07:23:08,2021-11-02T00:24:00,1020,Reviewed,110095,LIDSEY
8530598,518684,12661,LANGSTONE HARBOUR,2021-11-01T16:21:00,2021-11-01T23:30:00,429,Reviewed,109773,BUDDS FARM HAVANT NO2
8530599,518798,12622,WHITECLIFF BAY,2021-11-01T19:15:00,2021-11-01T22:32:00,197,Reviewed,110096,SANDOWN NO1
8530600,518798,12623,YAVERLAND,2021-11-01T19:15:00,2021-11-01T22:32:00,197,Reviewed,110096,SANDOWN NO1
8530601,518798,12624,SANDOWN,2021-11-01T19:15:00,2021-11-01T22:32:00,197,Reviewed,110096,SANDOWN NO1
8530602,518574,12582,SEAFORD,2021-11-01T21:50:00,2021-11-01T22:08:00,18,Reviewed,110920,NEWHAVEN
8530603,518797,12622,WHITECLIFF BAY,2021-11-01T17:27:00,2021-11-01T19:10:00,103,Reviewed,110096,SANDOWN NO1
8530604,518797,12624,SANDOWN,2021-11-01T17:27:00,2021-11-01T19:10:00,103,Reviewed,110096,SANDOWN NO1
8530605,518797,12623,YAVERLAND,2021-11-01T17:27:00,2021-11-01T19:10:00,103,Reviewed,110096,SANDOWN NO1
8530606,518497,12624,SANDOWN,2021-11-01T17:40:00,2021-11-01T19:02:14,82,Reviewed,110097,SANDOWN NO2
8530607,518497,12623,YAVERLAND,2021-11-01T17:40:00,2021-11-01T19:02:14,82,Reviewed,110097,SANDOWN NO2
8530608,518497,12622,WHITECLIFF BAY,2021-11-01T17:40:00,2021-11-01T19:02:14,82,Reviewed,110097,SANDOWN NO2
8530609,518488,12622,WHITECLIFF BAY,2021-11-01T15:56:00,2021-11-01T17:21:00,85,Reviewed,110096,SANDOWN NO1
